"Component # 813
 Mountains
 
 XID: Acorn Woodpecker","Acorn Woodpecker
 Melanerpes formicivorus
 
 Acorn Woodpeckers drill small holes into trees to store acorns. More than half of this bird’s diet consists of acorns, so it spends lots of time jamming hundreds of acorns into trees to eat later.","Carpintero bellotero
 Melanerpes formicivorus
 
 Los carpinteros belloteros taladran pequeños agujeros en los árboles para guardar bellotas. Más de la mitad de la dieta de este pájaro consiste de bellotas, y es por eso que pasa mucho tiempo insertando cientos de bellotas en los árboles para comer después."
"Component # 813
 Mountains
 
 XID: Nuttall’s Woodpecker","Nuttall’s Woodpecker
 Picoides nuttallii
 
 This woodpecker lives mainly in oak woodlands, but it doesn’t eat acorns. The Nuttall’s Woodpecker prefers to feed on a delectable meal of insect larvae.","Carpintero californiano
 Picoides nuttallii
 
 Este carpintero vive principalmente en bosques de robles, pero no come bellotas. El carpintero californiano prefiere alimentarse de una deleitable comida que consiste de larvas de insectos."
"Component # 813
 Mountains
 
 XID: Western Scrub Jay","Western Scrub Jay
 Aphelocoma californica
 
 Unlike the Acorn Woodpecker, which stores acorns in trees, the Western Scrub Jay puts them in the ground. This benefits the oak tree because some of the acorns the Scrub Jay doesn’t eat will sprout and grow into trees.","Chara pechirrayada
 Aphelocoma californica
 
 A diferencia del carpintero bellotero que almacena bellotas en los árboles, el chara pechirrayada las deposita en el suelo. Esto beneficia al roble porque algunas de las bellotas que el chara pechirrayada no come brotarán y llegarán a ser árboles."
"Component # 813
 Mountains
 
 XID: Oak Titmouse","Oak Titmouse
 Baeolophus inornatus
 
 Oak Titmice work in pairs to build their nests. The female is in charge of finding a suitable hole in an oak tree and building the nest, while the male follows her around and feeds her while she works.","Carbonero sencillo
 Baeolophus inornatus
 
 Los carboneros sencillos trabajan de a dos para construir sus nidos. La hembra está encargada de encontrar un hueco adecuado en un roble y de la construcción del nido, mientras el macho la sigue y le da de comer mientras ella trabaja."
"Component # 813
 Mountains
 
 XID: Western Bluebird","Western Bluebird
 Sialia mexicana
 
 It’s winter in the mountains, and the Western Bluebird is having trouble finding insects to eat. No need to worry—it can always count on Oak Mistletoe berries for nutrition.","Azulejo garganta azul
 Sialia mexicana
 
 Es invierno en las montañas, y al azulejo garganta azul le está costando encontrar insectos para comer. No hay que preocuparse—siempre puede contar con bayas de muérdago de roble para nutrirse."
"Component # 813
 Mountains
 
 XID: Western Screech Owl","Western Screech Owl
 Megascops kennicottii
 
 Like most owls, this small owl comes out only at night. During the day you might spot a Western Screech Owl roosting in a natural cavity of its favorite tree, the oak.","Tecolote occidental
 Megascops kennicottii
 
 Como la mayoría de los miembros de su especie, este pequeño tecolote sólo sale de noche. Durante el día es posible que veas un tecolote occidental resguardado en una cavidad natural de su árbol favorito, el roble."
"Component # 813
 Mountains
 
 XID: Ruby-crowned Kinglet","Ruby-crowned Kinglet
 Regulus calendula
 
 This Ruby-crowned Kinglet is a winter visitor to our mountain forests. While here, it spends its time darting from oak tree to oak tree in search of insects crawling in the leaves and twigs.","Reyezuelo de rojo
 Regulus calendula
 
 Este reyezuelo de rojo llega de visita en invierno a nuestros bosques de las montañas. Cuando está aquí, pasa el tiempo yendo velozmente de roble en roble en busca de insectos que andan por las hojas y las ramas."
"Component # 813
 Mountains
 
 XID: Band-tailed Pigeon","Band-tailed Pigeon
 Patagioenas fasciata
 
 That’s no bat you’re looking at. The resourceful Band-tailed Pigeon sometimes hangs upside down from branches to collect hard-to-reach acorns before gulping them down whole.","Paloma de collar
 Patagioenas fasciata
 
 Lo que estás viendo no es ningún murciélago. La habilidosa paloma de collar a veces se cuelga de cabeza desde las ramas para recolectar bellotas difíciles de alcanzar antes de tragárselas enteras."
"Component # 813
 Mountains
 
 XID: Mule Deer","Mule Deer
 Odocoileus hemionus
 
 Mule Deer need extra fat reserves to help them get through winter in the mountains. Acorns are an important fall food source, with high nutritional value, that helps them build up that much-needed fat.","Venado bura
 Odocoileus hemionus
 
 Los venados bura necesitan reservas adicionales de grasa para ayudarles a soportar el invierno en las montañas. Las bellotas son una importante fuente de alimento en el otoño, con alto valor nutritivo, que les ayuda a acumular esa grasa tan necesaria."
"Component # 813
 Mountains
 
 XID: Western Gray Squirrel","Western Gray Squirrel
 Sciurus griseus
 
 This Western Gray Squirrel is reaping the rewards of a busy gathering season. It spent the fall storing acorns in small holes in the ground called caches (pronounced CASH-ez). Now that it’s winter and food is scarce, the squirrel unearths its secret stash.","Ardilla gris occidental
 Sciurus griseus
 
 Esta ardilla gris occidental está disfrutando la recompensa de una ajetreada temporada de recolección. Pasó el otoño almacenando bellotas en pequeños huecos en el suelo. Ahora que es invierno y la comida es escasa, la ardilla desentierra su reserva secreta."
